NO_TRACE                                   | Adelicia Acklen (1817-1887) [US-TN] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Green Adams (1812-1884) [US-KY] canon=1/0 lead=6/0
NO_TRACE                                   | Giovanni Pietro Francesco Agius de Soldanis (1712-1770) [Malta] canon=0/0 lead=0/0
NO_TRACE                                   | Stair Agnew (1757-1821) [Canada-NB] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | William Aiken (1779-1831) [US-SC] canon=2/0 lead=11/0
NAMESAKES_ONLY (absent for intended)       | William Aiken Jr. (1806-1887) [US-SC] canon=2/0 lead=11/0
NO_TRACE                                   | Muhammad al-Badr (1926-1996) [Yemen] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Isaac Allen (1741-1806) [Canada-NB] canon=9/0 lead=8/0
NO_TRACE                                   | Diego de Almagro (1475-1538) [Spain/SouthAmerica] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Joseph R. Anderson (1813-1892) [US-VA] canon=15/0 lead=26/0
NAMESAKES_ONLY (absent for intended)       | John Armfield (1797-1871) [US-VA] canon=3/0 lead=3/0
NAMESAKES_ONLY (absent for intended)       | David Rice Atchison (1807-1883) [US-MO] canon=1/0 lead=1/0
NAMESAKES_ONLY (absent for intended)       | William Atherton (1742-1803) [England/Jamaica] canon=2/0 lead=1/0
NO_TRACE                                   | John James Audubon (1785-1851) [US] canon=0/0 lead=0/0
NO_TRACE                                   | Stephen F. Austin (?-?) [US-TX] canon=0/0 lead=0/0
NO_TRACE                                   | Jacques Baby (1731-1789) [Canada] canon=0/0 lead=0/0
NO_TRACE                                   | James Baby (1763-1833) [Canada] canon=0/0 lead=0/0
NO_TRACE                                   | Abu Bakr al-Baghdadi (1971-2019) [Iraq/Syria] canon=0/0 lead=0/0
NO_TRACE                                   | Adriana Bake (1724-1787) [DutchEastIndies] canon=0/0 lead=0/0
NO_TRACE                                   | Vasco Nunez de Balboa (1475-1519) [Spain] canon=0/0 lead=0/0
NO_TRACE                                   | Emanoil Baleanu (1793-1862) [Wallachia] canon=0/0 lead=0/0
NO_TRACE                                   | Elizabeth Swain Bannister (1785-1828) [Berbice] canon=0/0 lead=0/0
NO_TRACE                                   | Hayreddin Barbarossa (1478-1546) [Ottoman] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | William Barksdale (1821-1863) [US-MS] canon=5/0 lead=5/0
NAMESAKES_ONLY (absent for intended)       | Alexander Barrow (1801-1846) [US-LA] canon=1/0 lead=0/0
NO_TRACE                                   | George Washington Barrow (1807-1866) [US-LA] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Robert Ruffin Barrow (1798-1875) [US-LA] canon=2/0 lead=3/0
NO_TRACE                                   | William Beckford (1709-1770) [UK/Jamaica] canon=0/0 lead=0/0
NO_TRACE                                   | William Thomas Beckford (1760-1844) [UK/Jamaica] canon=0/0 lead=0/0
NO_TRACE                                   | Benjamin Belcher (1743-1802) [Canada-NS] canon=0/0 lead=0/0
NO_TRACE                                   | Zabeau Bellanton (?-?) [Saint-Domingue] canon=0/0 lead=0/0
NO_TRACE                                   | Judah P. Benjamin (1811-1884) [US-LA] canon=0/0 lead=0/0
CANDIDATE (canonical sig-match, gated)     | Charles Bent (1799-1847) [US-NM] canon=5/1 lead=7/0
NAMESAKES_ONLY (absent for intended)       | Thomas H. Benton (1782-1858) [US-MO] canon=2/0 lead=4/0
NO_TRACE                                   | George Berkeley (1685-1753) [Ireland/RhodeIsland] canon=0/0 lead=0/0
NO_TRACE                                   | John M. Berrien (1781-1856) [US-GA] canon=0/0 lead=0/0
NO_TRACE                                   | Antoine Bestel (1766-1852) [France/Mauritius] canon=0/0 lead=0/0
NO_TRACE                                   | James G. Birney (1792-1857) [US] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | James Blair (1788-1841) [UK/Demerara] canon=10/0 lead=12/0
NO_TRACE                                   | Simon Bolivar (1783-1830) [Venezuela] canon=0/0 lead=0/0
NO_TRACE                                   | Shadrach Bond (1773-1832) [US-IL] canon=0/0 lead=0/0
NO_TRACE                                   | Joseph Boucher de Niverville (1715-1804) [NewFrance] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | James Bowie (1796-1836) [US-TX] canon=6/0 lead=6/0
NAMESAKES_ONLY (absent for intended)       | Benjamin Boyd (1801-1851) [Scotland/Australia] canon=1/0 lead=1/0
NO_TRACE                                   | Joseph Brant (1747-1803) [Mohawk/Canada] canon=0/0 lead=0/0
NO_TRACE                                   | William Brattle (1706-1776) [US-MA] canon=0/0 lead=0/0
NO_TRACE                                   | John C. Breckinridge (1821-1875) [US-KY] canon=0/0 lead=0/0
NO_TRACE                                   | Simone Brocard (?-?) [Saint-Domingue] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Preston Brooks (1819-1857) [US-SC] canon=0/0 lead=1/0
NAMESAKES_ONLY (absent for intended)       | James Brown (1766-1835) [US-LA] canon=60/0 lead=60/0
NO_TRACE                                   | John Burbidge (1718-1812) [Canada-NS] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Pierce Butler (1744-1822) [US-SC] canon=0/0 lead=1/0
NAMESAKES_ONLY (absent for intended)       | William Orlando Butler (1791-1880) [US-KY] canon=21/0 lead=43/0
NO_TRACE                                   | Daniel Cady (1773-1859) [US-NY] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Julius Caesar (-100--44) [Rome] canon=5/0 lead=7/0
NAMESAKES_ONLY (absent for intended)       | Charles Caldwell (1772-1853) [US-KY] canon=5/0 lead=3/0
NAMESAKES_ONLY (absent for intended)       | John C. Calhoun (1782-1850) [US-SC] canon=9/0 lead=12/0
NAMESAKES_ONLY (absent for intended)       | Meredith Calhoun (1805-1869) [US-LA] canon=1/0 lead=1/0
NAMESAKES_ONLY (absent for intended)       | Paul C. Cameron (1808-1891) [US-NC] canon=3/0 lead=3/0
NAMESAKES_ONLY (absent for intended)       | William Capell (1732-1799) [UK] canon=4/0 lead=3/0
NO_TRACE                                   | Caravaggio (1571-1610) [Italy/Malta] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Charles Carroll (1737-1832) [US-MD] canon=6/0 lead=9/0
NO_TRACE                                   | Landon Carter (1710-1778) [US-VA] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Robert Carter (1663-1732) [US-VA] canon=14/0 lead=26/0
NAMESAKES_ONLY (absent for intended)       | Samuel A. Cartwright (1793-1863) [US] canon=1/0 lead=2/0
NAMESAKES_ONLY (absent for intended)       | Lewis Cass (1782-1866) [US-MI] canon=2/0 lead=6/0
NO_TRACE                                   | Girolamo Cassar (1520-1592) [Malta] canon=0/0 lead=0/0
NO_TRACE                                   | Cato the Elder (-234--149) [Rome] canon=0/0 lead=0/0
NO_TRACE                                   | Pietru Caxaro (?-1485) [Malta] canon=0/0 lead=0/0
NO_TRACE                                   | Carlos Manuel de Cespedes (1819-1874) [Cuba] canon=0/0 lead=0/0
NO_TRACE                                   | Auguste Chouteau (1750-1829) [US-MO] canon=0/0 lead=0/0
NO_TRACE                                   | Pierre Chouteau (1758-1849) [US-MO] canon=0/0 lead=0/0
NAMESAKES_ONLY (absent for intended)       | Cicero (-106--43) [Rome] canon=29/0 lead=60/0
NAMESAKES_ONLY (absent for intended)       | William Clark (1770-1838) [US-MO] canon=42/0 lead=60/0
NAME_HIT_UNRESOLVED (no year to disambiguate) | Nancy Clarke (?-?) [Barbados] canon=1/0 lead=2/0
